model,layer,transform,group,cos
glove,,raw,inter,0.07121676951646805
glove,,raw,inter,0.6085898280143738
glove,,raw,inter,0.38592514395713806
glove,,raw,inter,0.6481499075889587
glove,,raw,inter,0.35934773087501526
glove,,raw,inter,0.39730826020240784
glove,,raw,inter,0.29848214983940125
glove,,raw,inter,0.41691794991493225
glove,,raw,inter,0.30027449131011963
glove,,raw,inter,0.3382135331630707
glove,,raw,inter,0.27501872181892395
glove,,raw,inter,0.1025361716747284
glove,,raw,inter,0.2997531294822693
glove,,raw,inter,0.6059898734092712
glove,,raw,inter,0.3777894377708435
glove,,raw,inter,0.30431219935417175
glove,,raw,inter,0.07164040952920914
glove,,raw,inter,0.2511158585548401
glove,,raw,inter,0.34558796882629395
glove,,raw,inter,0.34681978821754456
glove,,raw,inter,0.5037540793418884
glove,,raw,inter,0.3984614312648773
glove,,raw,inter,0.4027329981327057
glove,,raw,inter,0.21128259599208832
glove,,raw,inter,0.49964943528175354
glove,,raw,inter,0.18688863515853882
glove,,raw,inter,0.5343212485313416
glove,,raw,inter,0.2090480923652649
glove,,raw,inter,0.554639995098114
glove,,raw,inter,0.18757551908493042
glove,,raw,inter,0.2157038152217865
glove,,raw,inter,0.25358882546424866
glove,,raw,inter,0.6423625349998474
glove,,raw,inter,0.27746012806892395
glove,,raw,inter,0.4574211835861206
glove,,raw,inter,0.5112298130989075
glove,,raw,inter,0.061013542115688324
glove,,raw,inter,0.38701996207237244
glove,,raw,inter,0.2042880356311798
glove,,raw,inter,0.28890398144721985
glove,,raw,inter,0.5217620134353638
glove,,raw,inter,0.05765215680003166
glove,,raw,inter,0.424211710691452
glove,,raw,inter,0.4645530879497528
glove,,raw,inter,0.20035481452941895
glove,,raw,inter,0.05206012725830078
glove,,raw,inter,0.18107908964157104
glove,,raw,inter,0.13930507004261017
glove,,raw,inter,0.40743106603622437
glove,,raw,inter,0.5185117721557617
glove,,raw,inter,0.545995831489563
glove,,raw,inter,0.2805582284927368
glove,,raw,inter,0.4881988763809204
glove,,raw,inter,0.2523246705532074
glove,,raw,inter,0.5322547554969788
glove,,raw,inter,0.45159363746643066
glove,,raw,inter,0.23372289538383484
glove,,raw,inter,0.260166198015213
glove,,raw,inter,0.2106168270111084
glove,,raw,inter,0.38671737909317017
glove,,raw,inter,0.14837130904197693
glove,,raw,inter,0.6845110058784485
glove,,raw,inter,0.43283411860466003
glove,,raw,inter,0.4369869530200958
glove,,raw,inter,0.38338518142700195
glove,,raw,inter,0.3285738527774811
glove,,raw,inter,0.11584201455116272
glove,,raw,inter,0.307447612285614
glove,,raw,inter,0.31455108523368835
glove,,raw,inter,0.18917150795459747
glove,,raw,inter,0.2512865960597992
glove,,raw,inter,0.3088594079017639
glove,,raw,inter,0.5674114227294922
glove,,raw,inter,0.22474819421768188
glove,,raw,inter,0.38001492619514465
glove,,raw,inter,0.34896138310432434
glove,,raw,inter,-0.07105322182178497
glove,,raw,inter,0.47621917724609375
glove,,raw,inter,0.4234168529510498
glove,,raw,inter,0.24645662307739258
glove,,raw,inter,0.18491294980049133
glove,,raw,inter,0.41532430052757263
glove,,raw,inter,0.21345563232898712
glove,,raw,inter,0.4517069160938263
glove,,raw,inter,0.26479652523994446
glove,,raw,inter,0.179000586271286
glove,,raw,inter,0.5223855972290039
glove,,raw,inter,0.2929861843585968
glove,,raw,inter,0.23316548764705658
glove,,raw,inter,0.4193943440914154
glove,,raw,inter,0.605803906917572
glove,,raw,inter,0.3519819974899292
glove,,raw,inter,0.4104832708835602
glove,,raw,inter,0.3537794351577759
glove,,raw,inter,0.5623654127120972
glove,,raw,inter,0.38884225487709045
glove,,raw,inter,0.41896742582321167
glove,,raw,inter,0.40293389558792114
glove,,raw,inter,0.3818824887275696
glove,,raw,inter,0.14513958990573883
glove,,raw,inter,0.3019600510597229
glove,,raw,inter,0.39377740025520325
glove,,raw,inter,0.4561220407485962
glove,,raw,inter,0.305652379989624
glove,,raw,inter,0.19839361310005188
glove,,raw,inter,0.41684114933013916
glove,,raw,inter,0.19238653779029846
glove,,raw,inter,0.380694180727005
glove,,raw,inter,0.11843635141849518
glove,,raw,inter,0.20118798315525055
glove,,raw,inter,0.38048139214515686
glove,,raw,inter,0.09756345301866531
glove,,raw,inter,0.49306467175483704
glove,,raw,inter,0.464280366897583
glove,,raw,inter,0.38620081543922424
glove,,raw,inter,0.18389156460762024
glove,,raw,inter,0.4198478162288666
glove,,raw,inter,0.4035961627960205
glove,,raw,inter,0.20740626752376556
glove,,raw,inter,0.42292606830596924
glove,,raw,inter,0.13501057028770447
glove,,raw,inter,0.10886839032173157
glove,,raw,inter,0.3041401505470276
glove,,raw,inter,0.1821824461221695
glove,,raw,inter,0.26422303915023804
glove,,raw,inter,0.2152831256389618
glove,,raw,inter,0.2983708083629608
glove,,raw,inter,0.5037590861320496
glove,,raw,inter,0.37162917852401733
glove,,raw,inter,0.4882059395313263
glove,,raw,inter,0.8299574851989746
glove,,raw,inter,0.39512214064598083
glove,,raw,inter,0.15708206593990326
glove,,raw,inter,0.24942585825920105
glove,,raw,inter,0.22730793058872223
glove,,raw,inter,0.2038072943687439
glove,,raw,inter,0.16952970623970032
glove,,raw,inter,0.450145423412323
glove,,raw,inter,0.4901309907436371
glove,,raw,inter,0.32802894711494446
glove,,raw,inter,0.11757490038871765
glove,,raw,inter,0.40993258357048035
glove,,raw,inter,0.3937246799468994
glove,,raw,inter,0.2693730890750885
glove,,raw,inter,0.26893457770347595
glove,,raw,inter,0.19674116373062134
glove,,raw,inter,0.31849244236946106
glove,,raw,inter,0.27018842101097107
glove,,raw,inter,0.15746983885765076
glove,,raw,inter,0.3931824266910553
glove,,raw,inter,0.3960873484611511
glove,,raw,inter,0.41514432430267334
glove,,raw,inter,0.44410786032676697
glove,,raw,inter,0.34334713220596313
glove,,mean_center_l2,intra,0.6640932559967041
glove,,mean_center_l2,intra,0.22070029377937317
glove,,mean_center_l2,intra,0.37684857845306396
glove,,mean_center_l2,intra,0.43149301409721375
glove,,mean_center_l2,intra,0.22127164900302887
glove,,mean_center_l2,intra,0.3099159300327301
glove,,mean_center_l2,intra,0.3893180787563324
glove,,mean_center_l2,intra,0.6329487562179565
glove,,mean_center_l2,intra,0.12108045816421509
glove,,mean_center_l2,intra,0.1508621871471405
glove,,mean_center_l2,intra,0.5116192102432251
glove,,mean_center_l2,intra,0.6176074147224426
glove,,mean_center_l2,intra,0.6308740973472595
glove,,mean_center_l2,intra,0.32029810547828674
glove,,mean_center_l2,intra,0.3612571954727173
glove,,mean_center_l2,intra,0.5466154217720032
glove,,mean_center_l2,intra,0.2924201786518097
glove,,mean_center_l2,intra,0.6774588823318481
glove,,mean_center_l2,intra,0.48828092217445374
glove,,mean_center_l2,intra,0.44442886114120483
glove,,mean_center_l2,intra,0.6456072926521301
glove,,mean_center_l2,intra,0.7157086133956909
glove,,mean_center_l2,intra,0.7297490239143372
glove,,mean_center_l2,intra,0.4904075264930725
glove,,mean_center_l2,intra,0.5683843493461609
glove,,mean_center_l2,intra,0.7072166204452515
glove,,mean_center_l2,intra,0.47979313135147095
glove,,mean_center_l2,intra,0.7701047658920288
glove,,mean_center_l2,intra,0.576956570148468
glove,,mean_center_l2,intra,0.539813220500946
glove,,mean_center_l2,intra,0.6540915369987488
glove,,mean_center_l2,intra,0.6362225413322449
glove,,mean_center_l2,intra,0.40329161286354065
glove,,mean_center_l2,intra,0.6774139404296875
glove,,mean_center_l2,intra,0.36957791447639465
glove,,mean_center_l2,intra,0.4489152431488037
glove,,mean_center_l2,intra,0.5126804113388062
glove,,mean_center_l2,intra,0.6043555736541748
glove,,mean_center_l2,intra,0.599614143371582
glove,,mean_center_l2,intra,0.4453897774219513
glove,,mean_center_l2,intra,0.40484753251075745
glove,,mean_center_l2,intra,0.6641107201576233
glove,,mean_center_l2,intra,0.5689032673835754
glove,,mean_center_l2,intra,0.7241023182868958
glove,,mean_center_l2,intra,0.572101354598999
glove,,mean_center_l2,intra,0.5826267600059509
glove,,mean_center_l2,intra,0.41905152797698975
glove,,mean_center_l2,intra,0.5303184986114502
glove,,mean_center_l2,intra,0.6331972479820251
glove,,mean_center_l2,intra,0.6791186928749084
glove,,mean_center_l2,intra,0.6304811239242554
glove,,mean_center_l2,intra,0.4808894395828247
glove,,mean_center_l2,intra,0.4492308497428894
glove,,mean_center_l2,intra,0.36812812089920044
glove,,mean_center_l2,intra,0.25625941157341003
glove,,mean_center_l2,intra,0.37851065397262573
glove,,mean_center_l2,intra,0.41721946001052856
glove,,mean_center_l2,intra,0.5709113478660583
glove,,mean_center_l2,intra,0.4874183237552643
glove,,mean_center_l2,intra,0.6940311789512634
glove,,mean_center_l2,intra,0.5649340152740479
glove,,mean_center_l2,intra,0.5201125144958496
glove,,mean_center_l2,intra,0.34864309430122375
glove,,mean_center_l2,intra,0.430040180683136
glove,,mean_center_l2,intra,0.21906107664108276
glove,,mean_center_l2,intra,0.5436202883720398
glove,,mean_center_l2,intra,0.5986669063568115
glove,,mean_center_l2,intra,0.46309947967529297
glove,,mean_center_l2,intra,0.7135740518569946
glove,,mean_center_l2,intra,0.6649322509765625
glove,,mean_center_l2,intra,0.7928608059883118
glove,,mean_center_l2,intra,0.3097802400588989
glove,,mean_center_l2,intra,0.5296353697776794
glove,,mean_center_l2,intra,0.7685526013374329
glove,,mean_center_l2,intra,0.2537020444869995
glove,,mean_center_l2,intra,0.6829975843429565
glove,,mean_center_l2,intra,0.2559081017971039
glove,,mean_center_l2,intra,0.1575320065021515
glove,,mean_center_l2,intra,0.7412471175193787
glove,,mean_center_l2,intra,0.28619909286499023
glove,,mean_center_l2,intra,0.3972722589969635
glove,,mean_center_l2,intra,0.5299791693687439
glove,,mean_center_l2,intra,0.7705351114273071
glove,,mean_center_l2,intra,0.6859302520751953
glove,,mean_center_l2,intra,0.4857661724090576
glove,,mean_center_l2,intra,0.5731461048126221
glove,,mean_center_l2,intra,0.5247915387153625
glove,,mean_center_l2,intra,0.3562772572040558
glove,,mean_center_l2,intra,0.6708775162696838
glove,,mean_center_l2,intra,0.581334114074707
glove,,mean_center_l2,intra,0.5196554064750671
glove,,mean_center_l2,intra,0.5317270159721375
glove,,mean_center_l2,intra,0.8400457501411438
glove,,mean_center_l2,intra,0.5139537453651428
glove,,mean_center_l2,intra,0.5799026489257812
glove,,mean_center_l2,intra,0.41469287872314453
glove,,mean_center_l2,intra,0.2574344575405121
glove,,mean_center_l2,intra,0.512234628200531
glove,,mean_center_l2,intra,0.5111358165740967
glove,,mean_center_l2,intra,0.6198288202285767
glove,,mean_center_l2,intra,0.6553208827972412
glove,,mean_center_l2,intra,0.5339256525039673
glove,,mean_center_l2,intra,0.5263893604278564
