model,layer,transform_type,delta_cos
bert,6.0,verb_regular,0.09503179788589478
bert,6.0,verb_regular,0.16350823640823364
bert,6.0,verb_regular,0.5689469575881958
bert,6.0,verb_regular,0.07414770126342773
bert,6.0,verb_regular,0.4725797772407532
bert,6.0,verb_regular,0.18252599239349365
bert,6.0,verb_regular,0.006047509610652924
bert,6.0,verb_regular,0.18037500977516174
bert,6.0,verb_regular,0.0665813460946083
bert,6.0,verb_regular,0.15401430428028107
bert,6.0,verb_regular,0.3867734670639038
bert,6.0,verb_regular,0.1774880439043045
bert,6.0,verb_regular,0.05411442741751671
bert,6.0,verb_regular,0.4513302147388458
bert,6.0,verb_regular,0.016247810795903206
bert,6.0,verb_regular,0.08348541706800461
bert,6.0,verb_regular,0.1037699431180954
bert,6.0,verb_regular,0.4474429488182068
bert,6.0,verb_regular,0.13030895590782166
bert,6.0,verb_regular,0.07387891411781311
bert,6.0,verb_regular,0.3159254193305969
bert,6.0,verb_regular,0.20109321177005768
bert,6.0,verb_regular,0.1451103687286377
bert,6.0,verb_regular,0.3173566460609436
bert,6.0,verb_regular,0.16218312084674835
bert,6.0,verb_regular,0.07908324897289276
bert,6.0,verb_regular,0.3132641315460205
bert,6.0,verb_regular,0.34661227464675903
bert,6.0,verb_regular,0.3710588216781616
bert,6.0,verb_regular,0.16810567677021027
bert,6.0,verb_regular,0.08786272257566452
bert,6.0,verb_regular,0.10186789184808731
bert,6.0,verb_regular,0.3813251852989197
bert,6.0,verb_regular,0.09489116817712784
bert,6.0,verb_regular,0.08431199193000793
bert,6.0,verb_regular,0.2072639912366867
bert,6.0,verb_regular,0.10094532370567322
bert,6.0,verb_regular,0.08815345168113708
bert,6.0,verb_regular,0.41764581203460693
bert,6.0,verb_regular,0.03793198615312576
bert,6.0,verb_regular,0.14364203810691833
bert,6.0,verb_regular,0.06298437714576721
bert,6.0,verb_regular,0.07014515995979309
bert,6.0,verb_regular,0.3409768342971802
bert,6.0,verb_regular,0.15605080127716064
bert,6.0,verb_regular,0.01669807732105255
bert,6.0,verb_regular,0.47750693559646606
bert,6.0,verb_regular,0.09089459478855133
bert,6.0,verb_regular,0.13826392590999603
bert,6.0,verb_regular,0.05278300493955612
bert,6.0,verb_regular,0.28305721282958984
bert,6.0,verb_regular,0.18689695000648499
bert,6.0,verb_regular,0.20176143944263458
bert,6.0,verb_regular,0.3502950668334961
bert,6.0,verb_regular,0.11834766715765
bert,6.0,verb_regular,0.10740198194980621
bert,6.0,verb_regular,0.31041163206100464
bert,6.0,verb_regular,0.5389152765274048
bert,6.0,verb_regular,0.6399149894714355
bert,6.0,verb_regular,0.23456338047981262
bert,6.0,verb_regular,0.029004963114857674
bert,6.0,verb_regular,0.06928659230470657
bert,6.0,verb_regular,0.248429536819458
bert,6.0,verb_regular,-0.036443572491407394
bert,6.0,verb_regular,0.012425296008586884
bert,6.0,verb_regular,0.58829665184021
bert,6.0,verb_regular,0.02144818753004074
bert,6.0,verb_regular,0.09125559031963348
bert,6.0,verb_regular,0.011002803221344948
bert,6.0,verb_regular,-0.011500954627990723
bert,6.0,verb_regular,0.1655704230070114
bert,6.0,verb_regular,-0.03099953383207321
bert,6.0,verb_regular,0.10424751043319702
bert,6.0,verb_regular,0.04961685463786125
bert,6.0,verb_regular,0.17414335906505585
bert,6.0,verb_regular,0.027258887887001038
bert,6.0,verb_regular,-0.008426639251410961
bert,6.0,verb_regular,0.13230744004249573
bert,6.0,verb_regular,0.33006688952445984
bert,6.0,verb_regular,0.2867615222930908
bert,6.0,verb_regular,0.4011896252632141
bert,6.0,verb_regular,0.10999135673046112
bert,6.0,verb_regular,0.12262210249900818
bert,6.0,verb_regular,0.549217700958252
bert,6.0,verb_regular,-0.001384476199746132
bert,6.0,verb_regular,0.3531862497329712
bert,6.0,verb_regular,-0.04942867159843445
bert,6.0,verb_regular,0.0586528480052948
bert,6.0,verb_regular,0.06834527850151062
bert,6.0,verb_regular,0.17699061334133148
bert,6.0,verb_regular,0.3338603079319
bert,6.0,verb_regular,0.41340160369873047
bert,6.0,verb_regular,0.2898220419883728
bert,12.0,verb_regular,0.20183303952217102
bert,12.0,verb_regular,0.34931424260139465
bert,12.0,verb_regular,0.5375754237174988
bert,12.0,verb_regular,0.27434080839157104
bert,12.0,verb_regular,0.33973702788352966
bert,12.0,verb_regular,0.3983920216560364
bert,12.0,verb_regular,0.14692364633083344
bert,12.0,verb_regular,0.16148170828819275
bert,12.0,verb_regular,0.27776092290878296
bert,12.0,verb_regular,-0.024209287017583847
bert,12.0,verb_regular,-0.04961567744612694
bert,12.0,verb_regular,0.5254018306732178
bert,12.0,verb_regular,0.15317928791046143
bert,12.0,verb_regular,0.1589568555355072
bert,12.0,verb_regular,0.5169734954833984
bert,12.0,verb_regular,0.2103240042924881
bert,12.0,verb_regular,0.22661496698856354
bert,12.0,verb_regular,0.444657564163208
bert,12.0,verb_regular,0.2246229648590088
bert,12.0,verb_regular,0.4997357726097107
bert,12.0,verb_regular,0.20998117327690125
bert,12.0,verb_regular,0.24716074764728546
bert,12.0,verb_regular,0.6004952192306519
bert,12.0,verb_regular,0.2958264946937561
bert,12.0,verb_regular,0.07342910766601562
bert,12.0,verb_regular,0.10544681549072266
bert,12.0,verb_regular,0.023915983736515045
bert,12.0,verb_regular,0.2708103060722351
bert,12.0,verb_regular,0.4426959455013275
bert,12.0,verb_regular,0.2561782896518707
bert,12.0,verb_regular,0.19887767732143402
bert,12.0,verb_regular,0.5171818733215332
bert,12.0,verb_regular,0.24391813576221466
bert,12.0,verb_regular,0.2416897714138031
bert,12.0,verb_regular,0.24695569276809692
bert,12.0,verb_regular,0.5171159505844116
bert,12.0,verb_regular,0.26515665650367737
bert,12.0,verb_regular,0.25961101055145264
bert,12.0,verb_regular,0.602975606918335
bert,12.0,verb_regular,0.08563651144504547
bert,12.0,verb_regular,0.04624424874782562
bert,12.0,verb_regular,0.23466035723686218
bert,12.0,verb_regular,0.2603025734424591
bert,12.0,verb_regular,0.22049996256828308
bert,12.0,verb_regular,0.4047074317932129
bert,12.0,verb_regular,0.17102621495723724
bert,12.0,verb_regular,0.24235551059246063
bert,12.0,verb_regular,0.41064953804016113
