model,layer,pair_type,cos
glove,,syn,0.6947199702262878
glove,,syn,-0.15761497616767883
glove,,syn,0.1602940857410431
glove,,syn,0.39271149039268494
glove,,syn,0.5039533972740173
glove,,syn,0.8804410099983215
glove,,syn,0.5429932475090027
glove,,syn,0.39507418870925903
glove,,syn,0.4071160852909088
glove,,syn,0.3751245141029358
glove,,syn,0.10391266644001007
glove,,syn,0.6933416724205017
glove,,syn,0.20419958233833313
glove,,syn,0.31268709897994995
glove,,syn,0.3561921715736389
glove,,syn,0.17102542519569397
glove,,syn,0.29748162627220154
glove,,syn,0.40598511695861816
glove,,syn,0.6309400200843811
glove,,syn,0.5685657858848572
glove,,syn,0.4974525272846222
glove,,syn,0.27919435501098633
glove,,syn,0.31717219948768616
glove,,syn,0.5491151213645935
glove,,syn,0.6743844151496887
glove,,syn,0.4476868808269501
glove,,syn,0.45837289094924927
glove,,syn,0.31611108779907227
glove,,syn,0.14571300148963928
glove,,syn,0.8703436255455017
glove,,syn,0.358085572719574
glove,,syn,0.6511461138725281
glove,,syn,0.863243043422699
glove,,syn,0.05916264280676842
glove,,syn,0.30728352069854736
glove,,syn,0.17789560556411743
glove,,syn,0.29444530606269836
glove,,syn,0.15802724659442902
glove,,syn,0.8143534064292908
glove,,syn,0.6808316111564636
glove,,syn,0.5140688419342041
glove,,syn,0.4874422550201416
glove,,syn,0.6268035769462585
glove,,syn,-0.02873195707798004
glove,,syn,0.47755953669548035
glove,,syn,0.8474910259246826
glove,,syn,0.21571427583694458
glove,,syn,0.1027030274271965
glove,,syn,0.5843707919120789
glove,,syn,0.38922446966171265
glove,,syn,0.3098903298377991
glove,,syn,0.5970507860183716
glove,,syn,0.5412111878395081
glove,,syn,0.5490919947624207
glove,,syn,0.8136931657791138
glove,,syn,0.44296327233314514
glove,,syn,0.47842130064964294
glove,,syn,0.6727729439735413
glove,,syn,0.5573561191558838
glove,,syn,0.42457303404808044
glove,,syn,0.44553327560424805
glove,,syn,0.22671431303024292
glove,,syn,0.7200616598129272
glove,,syn,0.44681185483932495
glove,,syn,0.6318516135215759
glove,,syn,0.15186578035354614
glove,,syn,-0.2110491544008255
glove,,syn,0.21101433038711548
glove,,syn,0.3078807592391968
glove,,syn,0.5348122715950012
glove,,syn,0.3563494384288788
glove,,syn,0.36657994985580444
glove,,syn,0.18478572368621826
glove,,syn,0.2703549563884735
glove,,syn,0.4700959324836731
glove,,syn,0.33403536677360535
glove,,syn,0.1811698079109192
glove,,syn,0.4757043421268463
glove,,ant,0.6158522367477417
glove,,ant,0.8841285109519958
glove,,ant,0.8570553064346313
glove,,ant,0.6645933985710144
glove,,ant,0.6229424476623535
glove,,ant,0.9333533644676208
glove,,ant,0.49625495076179504
glove,,ant,0.3633153736591339
glove,,ant,0.729146420955658
glove,,ant,0.328355073928833
glove,,ant,0.18727470934391022
glove,,ant,0.5947361588478088
glove,,ant,0.3864416778087616
glove,,ant,0.4975147545337677
glove,,ant,0.43177682161331177
glove,,ant,0.5414791703224182
glove,,ant,0.3771083652973175
glove,,ant,0.4686652421951294
glove,,ant,0.4372090697288513
glove,,ant,0.36288556456565857
glove,,ant,0.6274838447570801
glove,,ant,0.6416475772857666
glove,,ant,0.5060282945632935
glove,,ant,0.5068464875221252
glove,,ant,0.6550398468971252
glove,,ant,0.3116745352745056
glove,,ant,0.6418280005455017
glove,,ant,0.607886552810669
glove,,ant,0.7055109143257141
glove,,ant,0.9395541548728943
glove,,ant,0.24817466735839844
glove,,ant,0.1538645327091217
glove,,ant,0.6193828582763672
glove,,ant,0.36060941219329834
glove,,ant,0.8831076622009277
glove,,ant,0.2419864535331726
glove,,ant,0.5789454579353333
glove,,ant,0.780076265335083
glove,,ant,0.3642900288105011
glove,,ant,0.3081963360309601
glove,,ant,0.7541511654853821
glove,,ant,0.7071260213851929
glove,,ant,0.2717609107494354
glove,,ant,0.764971137046814
glove,,ant,0.5240697860717773
glove,,ant,0.3278982937335968
glove,,ant,0.8008208274841309
glove,,ant,0.34572094678878784
glove,,ant,0.37103742361068726
